N1,償,ショウ,つぐな.う,"indemnisation, compensation",
N1,熟,ジュク,う.れる,"arrivé à maturité, mûrir",
N1,充,ジュウ,"あ.てる, み.たす","allouer, attribuer, remplir",
N1,爵,シャク,-,"baron, rang à la cour",
N1,免,メン,"まぬか.れる, まぬが.れる","excuse, licenciement",
N1,牧,ボク,まき,"pâturage, élevage",
N1,牲,セイ,-,"sacrifice, offrande",
N1,犠,"ギ, キ",いけにえ,sacrifice,
N1,典,"テン, デン",-,"cérémonie, code, règle",
N1,猛,モウ,-,"féroce, sauvage, intense, acharné",
N1,冗,ジョウ,-,"superflu, inutile",
N1,猶,"ユウ, ユ",なお,"de plus, encore",
N1,冠,カン,かんむり,"couronne, inégalable",
N1,冶,"ヤ, じ",-,"fusion, fonte",
N1,獲,カク,え.る,"capturer, obtenir, acquérir, prise",
N1,准,ジュン,-,"quasi-, semi-, associé",
N1,凝,ギョウ,"こ.らす, こご.らす","congeler, glacer, raide, être absorbé par",
N1,凡,ボン,"およ.そ, すべ.て","médiocre, banal, quelconque",
N1,刀,トウ,"かたな, そり","sabre, épée",
N1,刃,"ジン, ニン","は, やいば, き.る","lame, épée, tranchant d'une lame",
N1,璃,リ,-,"translucide, lapis lazuli",
N1,甚,ジン,はなは.だ,"extrêmement, excessivement",
N1,削,サク,"けず.る, はつ.る, そ.ぐ","tailler, réduire, affûter, supprimer",
N1,剖,ボウ,-,"dissection, vivisection",
N1,剛,ゴウ,-,"ferme, robuste, fort",
N1,剣,ケン,つるぎ,"sabre, épée, aiguille d'une montre",
N1,剤,"ザイ, スイ, セイ","かる, けず.る","médicament, drogue, produit pour ~",
N1,剰,ジョウ,あま.る,"surplus, en plus",
N1,創,"ソウ, ショウ","つく.る, はじ.める","fondation, genèse",
N1,疎,"ソ, ショ","うと.む, まば.ら","négligence, aliénation, éviter, clairsemé, épars",
N1,功,"コウ, ク",いさお,"réussite, succès, effort",
N1,劣,レツ,おと.る,"être inférieur à, être pire que",
N1,症,ショウ,-,"symptôme, maladie",
N1,励,レイ,はげ.む,"encourager, pousser à, s'efforcer de",
N1,痢,リ,-,diarrhée,
N1,劾,ガイ,-,"censure, enquête criminelle",
N1,勅,チョク,みことのり,décret impérial,
N1,癒,ユ,"い.える, いや.す","guérir, soigner, étancher sa soif",
N1,癖,ヘキ,くせ,"trait de caractère, manie, mauvaise habitude, frisé",
N1,勘,カン,-,"intuition, perception",
N1,皇,"コウ, オウ",-,Empereur,
N1,勧,"カン, ケン",すす.める,"persuader, recommander, conseiller, encourager",
N1,勲,クン,いさお,"action méritoire, mérite",
N1,勺,シャク,-,"louche, écumoir, unité de mesure (shaku=18ml)",
N1,匁,-,もんめ,"unité de poids (monme = 3,75 g)",
N1,盛,"セイ, ジョウ","も.る, さか.る, さか.ん","actif, prospère, florissant",
N1,盟,メイ,-,"pacte, alliance, serment",
N1,匠,ショウ,たくみ,"artisan, ouvrier",
N1,盤,バン,-,"plateau, base, échiquier de Go, disque, bassin",
N1,盲,モウ,めくら,"aveugle, ignorant, cécité",
N1,匿,トク,かくま.う,"cacher, dissimuler",
N1,盾,ジュン,たて,"bouclier, écu, prétexte",
N1,眉,"ビ, ミ",まゆ,sourcil,
N1,卓,タク,-,"table, supérieur, éminent",
N1,眺,チョウ,なが.める,"contempler, regarder, fixer, voir",
N1,眼,"ガン, ゲン","まなこ, め","globe oculaire, œil",
N1,博,"ハク, バク",-,"Docteur (titulaire du doctorat), nombreux, exposition",
N1,督,トク,-,"commander, superviser, diriger",
N1,睦,ボク,むつ.ぶ,"amical, harmonieux, être proche, être intime",
N1,瞬,シュン,またた.く,"clin d'œil, cligner des yeux, scintiller, pétiller (yeux)",
N1,即,ソク,"つ.く, すなわ.ち","se conformer à, être adapté à, instantané, immédiatement",
N1,却,キャク,"かえ.って, しりぞ.く","à l'inverse, au contraire, plutôt",
N1,矛,ム,ほこ,"hallebarde, lance",
N1,卸,シャ,"おろ.す, おろし",vente en gros,
N1,厄,ヤク,-,"désastre, malchance",
N1,厘,リン,-,"un petit peu, unité de longueur (rin = 0,3 mm), unité monétaire (rin = 0,001 yen)",
N1,矯,キョウ,た.める,"rectifier, redresser, corriger, guérir, falsifier",
